"","Anxiety_Pre","Anxiety_Post"
"1",35.7673208977731,34.5366231021701
"2",40.2596628949481,34.2052889540531
"3",31.2289439359124,36.7788641645627
"4",27.5890544017438,36.0523380789935
"5",39.3056593624886,34.6574535140748
"6",32.977400846215,35.3173537948865
"7",33.8629729136319,34.0286698676551
"8",39.6704808543125,33.0821878500016
"9",32.6705206010452,35.3610345842141
"10",31.8122825071489,36.4434685656378
"11",41.7185431309969,34.2609190437584
"12",35.9076769229897,35.4750766250793
"13",41.4625616820857,33.6681557751702
"14",26.559757120676,33.4063849803145
"15",30.8950321118452,34.8966061373772
"16",30.6892692795012,37.573856666595
"17",35.4942184456898,34.5717006745232
"18",33.1217242790082,33.8505090713972
"19",38.6195207764213,32.0585459114153
"20",26.0130899071373,32.934523134355
"21",31.6812842921189,32.3869502895207
"22",31.8813675563541,33.3234951853617
"23",34.6018378408092,32.7386926379504
"24",37.178123814147,35.737496350566
"25",44.8545048486212,34.5963939593382
"26",32.0162066374544,32.4446801944537
"27",32.2374639419552,33.4039750386628
"28",38.4798331685055,35.318164845892
"29",34.2216801769601,36.2295952662869
"30",41.7444909759887,36.3758959247728
"31",29.6573846475661,34.9058979778875
"32",40.3222537340206,39.660643356599
"33",28.4363911773126,33.844868018038
"34",45.3184735112595,36.9369582685837
"35",35.6569150533134,34.4449287450754
