"","Anxiety_Pre","Anxiety_Post"
"1",29.4785797892452,38.3870296336561
"2",30.3092489291082,33.4180635589954
"3",38.3931212209129,32.8494787998246
"4",27.1125106735259,33.7842497552562
"5",30.6503077088718,36.5088033211777
"6",37.4233852267855,35.9069521250304
"7",34.069736506778,34.7531326391075
"8",42.7277735009183,33.4738063554325
"9",31.943099649359,35.4565401761092
"10",33.2612175633183,37.2389238329409
"11",26.8174184723029,35.3131463672553
"12",35.1019072005002,33.6224557318352
"13",39.4587134008392,35.9058992082994
"14",30.6362515837387,32.8649066999001
"15",39.4502541491974,35.803130297489
"16",33.2806282693533,34.8704526181455
"17",24.06609315836,35.630992580201
"18",39.4002909074602,33.7886368906709
"19",38.6192827807321,33.1848306168361
"20",36.0992634013025,39.5232179515642
"21",38.9493528700038,33.7935465836014
"22",33.8500304996122,32.4042758087854
"23",30.9074875868614,36.0129024055276
"24",37.4986707864282,33.2933314752227
"25",35.7959617404301,31.987936421303
"26",37.7131321408883,37.404657798785
"27",34.2167747290864,32.9442692285506
"28",37.1939666032132,36.87653991557
"29",42.4393529761478,33.9136906831728
"30",35.3008254889772,36.0261902501209
"31",30.7549356603384,34.2948182349613
"32",46.6984652860365,37.6530665732101
"33",34.3939852389631,32.7196963052497
"34",25.2489631447118,37.8262198759187
"35",37.6935574515427,33.7956424322893
